"IdSession","IdPSX","IdSubscriber","StartSession","EndSession","Duartion","UpTx","DownTx","date","Hour"
14203,3,6091,2024-01-01 09:03:07,NA,413,5323310,6011952,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,219,21491876,22491068,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,1013,768945,778477,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,819,87325456,105953977,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,299,5852397,8490240,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,1613,1769030,2289973,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,1419,162168564,183730695,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,318,1811840,2630173,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,899,3732306,5068371,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,2213,1522718,1914310,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,236,40073718,119047935,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,2019,200079992,249138272,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,270,4901417,5475818,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,918,10786078,13340574,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,1499,15776752,16390671,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,2813,28883656,42895805,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,836,186924335,404092474,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,2619,237095339,344855029,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,870,17233850,19880287,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,381,2051122,2900980,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,1518,9146354,12013225,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,279,3850515,5746233,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,2099,21225667,26622193,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,3413,10118509,12270387,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,1436,325285286,778389534,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,3219,315198516,370929733,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,1470,30950000,42476343,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,981,11383093,15661306,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,2118,54211713,62601004,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,879,6553958,9289583,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,2699,8167437,9139882,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,4013,67311721,75949971,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,2036,521025481,1213256173,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,3819,348066977,382907082,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,2070,49728950,56878789,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,1581,22496247,32258497,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,2718,30651751,40033352,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,1479,20622185,23169750,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,3299,43692814,45297091,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,4613,25983277,34397658,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,2636,611835670,1163954458,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,4419,406637154,530203816,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,2670,84938872,105445311,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,2181,14640957,21635702,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,3318,28547198,38661573,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,2079,20162500,21490417,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,3899,33195918,35839306,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,5213,73779694,78049532,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,3236,585981408,1698769857,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,5019,524129743,589808672,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,3270,65237108,87542467,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,2781,31877469,37768148,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,3918,53042380,62663559,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,2679,31170792,38702451,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,4499,38208997,44009307,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,5813,58781035,78132810,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,3836,855665749,2078788986,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,5619,571269258,640215882,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,3870,104028469,145388960,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,3381,28277825,34874151,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,4518,58952394,59664857,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,3279,33077383,41018153,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,5099,74931552,83351360,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,6413,78798165,93699558,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,4436,1005034937,2417905235,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,6219,576470813,660575033,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,4470,91788282,123380378,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,3981,94523503,113929166,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,5118,106347403,110428399,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,3879,36516348,43886154,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,5699,77928484,97485439,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,7013,25446300,27089175,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,5036,1131842302,2495133267,"2024-01-01",9
14204,3,7911,2024-01-01 09:06:21,NA,6819,602294871,764723540,"2024-01-01",9
14208,3,7560,2024-01-01 09:45:30,NA,5070,120185408,140012336,"2024-01-01",9
14209,3,8862,2024-01-01 09:53:39,NA,4581,40253909,42827175,"2024-01-01",9
14206,3,8160,2024-01-01 09:34:42,NA,5718,149670825,179525089,"2024-01-01",9
14210,3,9919,2024-01-01 09:55:21,NA,4479,49055421,59687338,"2024-01-01",9
14205,3,5241,2024-01-01 09:25:01,NA,6299,54657259,78386676,"2024-01-01",9
14203,3,6091,2024-01-01 09:03:07,NA,7613,23383174,29197934,"2024-01-01",9
14207,3,9225,2024-01-01 09:36:04,NA,5636,1394288577,2615919419,"2024-01-01",9
