"IdSession","IdPSX","IdSubscriber","StartSession","EndSession","Duartion","UpTx","DownTx","date","Hour"
15483,3,7007,2024-01-06 15:13:29,NA,391,19174656,21252680,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,427,5276580,6338756,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,991,42802217,55187528,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,503,11432075,14428850,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,361,3947216,4452879,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,1027,12321044,13470597,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,1591,70477007,87000292,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,1103,25289008,34264203,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,961,2612126,2900486,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,1627,24100348,28309040,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,2191,107100854,159915501,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,1703,47764391,52252824,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,90,5257629,6391215,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,302,4231388,5463086,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,1561,18299198,19400639,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,2227,21477629,31633219,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,2791,145634309,148402760,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,2303,46901087,52451515,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,44,7320675,15454482,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,690,37954053,54610707,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,902,11123367,12693118,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,238,39061211,93052734,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,2161,6717105,7210832,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,254,3283517,3559327,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,2827,28264844,32617507,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,3391,139235345,203008324,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,2903,64445373,70538410,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,644,141695659,332599194,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,1290,71431369,90826557,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,1502,10787832,14196919,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,838,130727874,296409766,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,2761,10550061,14579720,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,854,7249759,8646972,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,3427,48456236,63072738,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,3991,148914394,169496036,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,3503,71623455,83877322,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,1244,255192868,578882873,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,1890,122433225,172596766,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,2102,37440201,46296025,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,1438,222554017,549266552,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,3361,9409049,12065187,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,1454,11513264,12124014,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,4027,60566095,81794130,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,4591,201959512,213749467,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,4103,94736743,117323069,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,1844,375318627,844249687,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,2490,129185529,177095442,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,2702,16057789,16761301,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,2038,270795646,782737796,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,3961,24589725,32733387,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,2054,18659947,22399128,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,4627,66980351,70547660,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,5191,197798315,272608522,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,4703,137629303,156371543,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,2444,398692488,965000102,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,3090,218763966,260740764,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,3302,30659186,31313812,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,2638,363912075,1040877241,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,4561,29764961,37961823,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,2654,16862576,24005916,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,5227,93470721,111427212,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,5791,225684638,230231292,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,5303,182061320,210612100,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,3044,562759494,1185499547,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,3690,287248546,315620369,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,3902,56281738,57610302,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,3238,451641976,1250530978,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,5161,25998205,27235874,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,3254,23361496,24376176,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,5827,79319538,100905610,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,6391,220211558,254223960,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,5903,165798076,176385664,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,3644,607500626,1530116517,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,4290,260109952,309489975,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,4502,65585079,78878362,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,3838,540680483,1512012314,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,5761,54666960,65253433,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,3854,6548926,6715742,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,6427,92873898,120101093,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,6991,254835371,284218833,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,6503,250191343,282739387,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,4244,787901443,1909191963,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,4890,271809515,359293701,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,5102,124835698,176605266,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,4438,798349022,1883685228,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,6361,11897808,13215428,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,4454,11218327,13528541,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,NA,7027,124034647,132584770,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,7591,216485653,268867177,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,7103,188018198,245882922,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,4844,783409880,2126216441,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,5490,349083091,358740953,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,5702,39816432,51146115,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,5038,809229491,1660932625,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,6961,39882045,47570901,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,5054,64772630,79449051,"2024-01-06",15
15484,3,7687,2024-01-06 15:22:53,"06-01-2024 20:24:05",7272,133140064,182189387,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,8191,273156170,303975897,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,7703,323718996,397762623,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,5444,898357221,2573390931,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,6090,334613396,396023861,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,6302,47093119,64874141,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,5638,828682956,2182101771,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,7561,35018529,46663397,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,5654,16759447,23385109,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,8791,267966659,333832816,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,8303,252146559,298111122,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,6044,1216060138,3175208107,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,6690,431382765,431485893,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,6902,67433455,81204643,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,6238,898283852,2427862589,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,8161,79150448,111678513,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,6254,50082098,59889689,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,9391,342236015,365675656,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,8903,333165147,395108207,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,6644,1531787382,2945912848,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,7290,445690100,563503763,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,7502,186574894,216254285,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,6838,1053843425,2407244601,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,8761,22190376,22553241,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,6854,22910249,23286337,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,9991,462992162,501014808,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,9503,357615795,528800222,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,7244,1714254684,3498225799,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,7890,460851249,619451867,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,8102,50327823,71472089,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,7438,962126041,2594140032,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,9361,60133871,60571349,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,7454,12868009,15194431,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,10591,391802446,562585734,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,10103,372699344,519326536,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,7844,1722522862,3656434287,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,8490,586819862,663738850,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,8702,142504478,164269397,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,8038,1080813136,2752606820,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,9961,26805050,35740716,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,8054,41362668,58866245,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,11191,376846257,401584138,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,10703,463336467,677578513,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,8444,1984551760,4180131948,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,9090,504807238,667242009,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,9302,56907360,76190624,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,8638,1428543434,3897302232,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,10561,49572739,62366979,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,8654,95428086,142956976,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,11791,389771562,537349283,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,11303,451294387,607259487,"2024-01-06",15
15489,3,6759,2024-01-06 15:59:16,NA,9044,1815622929,4820393416,"2024-01-06",15
15487,3,7046,2024-01-06 15:48:30,NA,9690,594208763,784002266,"2024-01-06",15
15488,3,9403,2024-01-06 15:44:58,NA,9902,56880615,59202520,"2024-01-06",15
15490,3,7738,2024-01-06 15:56:02,NA,9238,1686653281,3949003542,"2024-01-06",15
15486,3,8923,2024-01-06 15:23:59,NA,11161,72151822,90973254,"2024-01-06",15
15491,3,9539,2024-01-06 15:55:46,NA,9254,70278490,79146596,"2024-01-06",15
15483,3,7007,2024-01-06 15:13:29,NA,12391,507860777,527257273,"2024-01-06",15
15485,3,8902,2024-01-06 15:21:37,NA,11903,628963044,727848431,"2024-01-06",15
