IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx,date
14331,3,8998,2024-01-02T00:13:01Z,NA,419,13088714,14053073,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,429,10420203,11406527,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,1019,24584927,33728653,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,1029,21680780,26695388,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,574,5298364,7704400,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,1619,30477779,43531949,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,1629,63867295,83927803,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,347,34614058,45037104,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,1174,39990226,51093096,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,483,14020522,14632021,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,2219,65879789,85406140,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,2229,70951696,82212399,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,947,114213222,131454711,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,1774,25879461,28616694,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,1083,23856800,32603630,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,296,16095287,22385197,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,2819,66718849,87892751,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,2829,92677393,103671275,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,1547,180991462,203324700,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,2374,55526674,73128185,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,1683,46795093,57170670,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,896,60794425,75087984,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,3419,42495664,53653405,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,3429,170299966,222352699,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,2147,267673553,286280665,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,2974,68033614,69505269,2024-01-02
14337,3,5856,2024-01-02T01:09:39Z,NA,21,1181774,1553880,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,2283,32270205,42836093,2024-01-02
14338,3,5597,2024-01-02T01:06:16Z,NA,224,3320985,4830615,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,1496,99207952,103733330,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,4019,49547327,54673279,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,4029,183902920,191605834,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,2747,299651901,342814451,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,3574,113923783,156393358,2024-01-02
14337,3,5856,2024-01-02T01:09:39Z,NA,621,42355240,43128467,2024-01-02
14339,3,8483,2024-01-02T01:17:18Z,NA,162,868501,898005,2024-01-02
14340,3,6705,2024-01-02T01:19:38Z,NA,22,2190569,3266735,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,2883,79260544,99360720,2024-01-02
14338,3,5597,2024-01-02T01:06:16Z,NA,824,12568778,14726788,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,2096,143321468,144520674,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,4619,77891376,78894451,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,4629,203622999,274429625,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,3347,368607601,484366751,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,4174,131126680,184917831,2024-01-02
14337,3,5856,2024-01-02T01:09:39Z,NA,1221,89018099,91784815,2024-01-02
14339,3,8483,2024-01-02T01:17:18Z,NA,762,7177266,10155070,2024-01-02
14340,3,6705,2024-01-02T01:19:38Z,NA,622,75139102,81393115,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,3483,65327115,67038239,2024-01-02
14338,3,5597,2024-01-02T01:06:16Z,NA,1424,24531938,27167119,2024-01-02
14341,3,8724,2024-01-02T01:28:41Z,NA,79,1914302,2454524,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,2696,203290622,204010360,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,5219,62703141,63685876,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,5229,230203553,281980426,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,3947,522102894,538744709,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,4774,158327871,166487780,2024-01-02
14337,3,5856,2024-01-02T01:09:39Z,NA,1821,127249330,168659494,2024-01-02
14342,3,8953,2024-01-02T01:39:36Z,NA,24,1155680,1309183,2024-01-02
14339,3,8483,2024-01-02T01:17:18Z,NA,1362,1971833,2557475,2024-01-02
14340,3,6705,2024-01-02T01:19:38Z,NA,1222,149834077,163322952,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,4083,94924720,97937558,2024-01-02
14338,3,5597,2024-01-02T01:06:16Z,NA,2024,38492845,46219676,2024-01-02
14343,3,9111,2024-01-02T01:30:38Z,NA,562,55965499,65312421,2024-01-02
14341,3,8724,2024-01-02T01:28:41Z,NA,679,21822358,31945279,2024-01-02
14344,3,7085,2024-01-02T01:36:32Z,NA,208,690428,982770,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,3296,168693879,235662752,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,5819,101131369,120639465,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,5829,357185294,398618562,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,4547,427203789,594707253,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,5374,152219183,208110659,2024-01-02
14345,3,8143,2024-01-02T01:49:42Z,NA,18,605038,813026,2024-01-02
14337,3,5856,2024-01-02T01:09:39Z,NA,2421,175952311,200550705,2024-01-02
14342,3,8953,2024-01-02T01:39:36Z,NA,624,27881085,37002028,2024-01-02
14339,3,8483,2024-01-02T01:17:18Z,NA,1962,54749795,56973881,2024-01-02
14346,3,7587,2024-01-02T01:42:08Z,NA,472,11698760,14930340,2024-01-02
14340,3,6705,2024-01-02T01:19:38Z,NA,1822,217124988,249871768,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,4683,64526343,68170381,2024-01-02
14338,3,5597,2024-01-02T01:06:16Z,NA,2624,47167616,61978894,2024-01-02
14343,3,9111,2024-01-02T01:30:38Z,NA,1162,96538507,129975557,2024-01-02
14341,3,8724,2024-01-02T01:28:41Z,NA,1279,44358168,45195935,2024-01-02
14344,3,7085,2024-01-02T01:36:32Z,NA,808,11504942,14344969,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,3896,245599165,249415010,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,6419,91057371,103974079,2024-01-02
14347,3,8862,2024-01-02T01:52:17Z,NA,463,25336469,26855017,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,6429,358848034,361004334,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,5147,670034183,719123601,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,5974,217262170,308664620,2024-01-02
14345,3,8143,2024-01-02T01:49:42Z,NA,618,40821113,44238796,2024-01-02
14337,3,5856,2024-01-02T01:09:39Z,NA,3021,226238034,232753676,2024-01-02
14348,3,8417,2024-01-02T01:51:48Z,NA,492,1817402,1894515,2024-01-02
14342,3,8953,2024-01-02T01:39:36Z,NA,1224,60080930,61552949,2024-01-02
14339,3,8483,2024-01-02T01:17:18Z,NA,2562,21818224,32267974,2024-01-02
14346,3,7587,2024-01-02T01:42:08Z,NA,1072,-1062803,-1505462,2024-01-02
14340,3,6705,2024-01-02T01:19:38Z,NA,2422,312785706,349816613,2024-01-02
14335,3,8454,2024-01-02T00:31:57Z,NA,5283,127622074,147723467,2024-01-02
14338,3,5597,2024-01-02T01:06:16Z,NA,3224,69749330,76605668,2024-01-02
14343,3,9111,2024-01-02T01:30:38Z,NA,1762,176156805,229642663,2024-01-02
14341,3,8724,2024-01-02T01:28:41Z,NA,1879,97776262,108292657,2024-01-02
14344,3,7085,2024-01-02T01:36:32Z,NA,1408,32662091,40672901,2024-01-02
14336,3,4336,2024-01-02T00:45:04Z,NA,4496,228194701,259365024,2024-01-02
14331,3,8998,2024-01-02T00:13:01Z,NA,7019,93167423,124443049,2024-01-02
14347,3,8862,2024-01-02T01:52:17Z,NA,1063,57529458,74622224,2024-01-02
14332,3,7505,2024-01-02T00:12:51Z,NA,7029,346885750,389679446,2024-01-02
14334,3,5241,2024-01-02T00:34:13Z,NA,5747,569227237,732026024,2024-01-02
14333,3,6646,2024-01-02T00:20:26Z,NA,6574,242523939,324926847,2024-01-02
14345,3,8143,2024-01-02T01:49:42Z,NA,1218,72295998,89749467,2024-01-02
14349,3,8861,2024-01-02T02:03:48Z,NA,372,2710028,2955797,2024-01-02
14337,3,5856,2024-01-02T01:09:39Z,NA,3621,304101725,304574991,2024-01-02
14348,3,8417,2024-01-02T01:51:48Z,NA,1092,13388348,15092994,2024-01-02
14342,3,8953,2024-01-02T01:39:36Z,NA,1824,95401381,101197592,2024-01-02
