IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx
15398,3,5026,06-01-2024 09:12:07,,6473,28153706,33591385
15290,3,6906,05-01-2024 22:45:44,,44056,158439046,237322777
15373,3,7141,06-01-2024 06:38:53,,15667,387971497,518998795
15257,3,7392,05-01-2024 19:40:59,,55141,3033195952,3255189264
15242,3,9588,05-01-2024 18:23:29,,59791,978270862,1300598049
15383,3,7219,06-01-2024 07:10:32,,13768,45848641,48811470
15303,3,5195,06-01-2024 00:12:05,,38875,279907938,400445692
15364,3,4338,06-01-2024 06:01:34,,17906,182756771,255734899
15330,3,5928,06-01-2024 02:52:49,,29231,680560657,843763182
15365,3,9419,06-01-2024 06:04:30,,17730,106193986,145962591
15374,3,8200,06-01-2024 06:30:53,,16147,678682610,750444800
15294,3,4433,05-01-2024 22:58:50,,43270,11691401940,22605004082
15390,3,5285,06-01-2024 07:58:19,,10901,210030832,283476776
15332,3,7451,06-01-2024 03:08:06,,28314,80005418,116111646
15310,3,7595,06-01-2024 00:40:47,,37153,917333035,1327770490
15291,3,9601,05-01-2024 22:45:01,,44099,2691248971,3228118686
15388,3,9840,06-01-2024 07:40:56,,11944,160961240,173575914
15243,3,8465,05-01-2024 18:23:13,,59807,1510236049,2188940607
15403,3,6617,06-01-2024 09:58:21,,3699,23036825,29634752
15227,3,4880,05-01-2024 17:05:08,,64492,2251474147,2720652283
15401,3,8160,06-01-2024 09:36:30,,5010,38817261,48277762
15366,3,9919,06-01-2024 06:05:06,,17694,980747090,1027220139
15346,3,5424,06-01-2024 04:04:47,,24913,1429956180,1643543789
15393,3,6892,06-01-2024 08:46:20,,8020,493512675,534032067
15368,3,8739,06-01-2024 06:12:51,,17229,4497516950,9973953205
15369,3,8872,06-01-2024 06:13:09,,17211,935743218,1351688621
15228,3,5241,05-01-2024 17:02:50,,64630,5467312223,5588066328
15334,3,8143,06-01-2024 03:13:16,,28004,574852228,606688032
15338,3,7795,06-01-2024 03:27:29,,27151,287381222,299933704
15328,3,9365,06-01-2024 02:47:24,,29556,189403506,209807824
15320,3,7013,06-01-2024 01:45:46,,33254,644718742,765807435
