"IdSession","IdPSX","IdSubscriber","StartSession","EndSession","Duartion","UpTx","DownTx","date","Hour"
9272,3,5928,2023-12-31 14:21:04,NA,24536,710043828,852383317,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,23491,510463109,675157818,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,23545,4309074378,9418214613,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,22795,2424103159,2557120387,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,25136,644953192,762526594,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,24091,366778600,368545672,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,24145,4913190772,9497783757,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,23395,2611579003,2819937690,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,25736,749148726,785169919,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,24691,635016058,670741532,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,24745,3798425345,9640775038,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,23995,2294001804,3091846434,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,26336,788308541,1026174457,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,25291,551472350,745662330,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,25345,4919474876,11192487773,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,24595,2174392131,3180142486,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,26936,714110125,930823735,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,25891,336013492,487387232,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,25945,4866344074,13614071580,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,25195,2730559272,2785235050,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,27536,815584772,1053029608,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,26491,577808669,633993645,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,26545,4693109358,9324617401,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,25795,2443427718,3474305723,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,28136,768069622,1048877862,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,27091,640006550,642026604,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,27145,5120822891,12946260271,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,26395,2644634052,2910185442,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,28736,928207615,1024829944,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,27691,504785934,661232543,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,27745,4813780222,10818713226,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,26995,3130024418,3193006978,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,29336,697107087,935813624,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,28291,398052457,531594764,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,28345,4916473762,12834916664,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,27595,2395455422,3077482204,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,29936,710475399,983706744,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,28891,546287047,710346769,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,28945,4865483488,12472942147,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,28195,2843559672,2902499429,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,30536,877727529,885544712,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,29491,747265025,750153008,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,29545,5857941477,11022392493,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,28795,2933480488,3533421802,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,31136,854876812,1075670903,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,30091,484295745,484859442,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,30145,5236898231,13723546671,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,29395,2287429938,3327941939,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,31736,971018780,1049408359,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,30691,415885998,559008834,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,30745,5051240605,11538502518,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,29995,2771861351,3074760061,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,32336,937011927,1337343098,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,31291,468938021,696847170,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,31345,5450258498,13629508386,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,30595,2590228165,3756231479,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,32936,1142528003,1424691290,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,31891,512319879,625395233,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,31945,7077793440,14313369867,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,31195,2977790455,3703862236,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,33536,993190987,1000474726,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,32491,561644235,701868644,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,32545,6127479143,12261343327,"2023-12-31",14
14005,3,6065,2023-12-31 14:50:05,NA,31795,2936319469,3765267656,"2023-12-31",14
9272,3,5928,2023-12-31 14:21:04,NA,34136,855507581,1279952117,"2023-12-31",14
3719,3,8919,2023-12-31 14:38:29,NA,33091,695261111,883900535,"2023-12-31",14
8534,3,9225,2023-12-31 14:37:35,NA,33145,5237393890,14329495005,"2023-12-31",14
